count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
942304,2016,6,London,145,Camden,B510,minor,,,525323,185330,51.55294845,-0.19380874,,,Counted,"Manual count",233,323,7012,254,1815,243,26,8,59,5,7,348,9753
942305,2016,6,London,145,Camden,B521,minor,,,531314,181941,51.52113192,-0.10871053,,,Estimated,"Estimated using previous year's AADF on this link",1048,451,1591,7,665,85,12,0,0,0,0,97,2810
942307,2016,6,London,145,Camden,B502,minor,,,530149,182117,51.52298296,-0.12542749,,,Counted,"Manual count",952,216,1253,8,500,39,5,5,10,0,1,60,2037
942310,2016,6,London,145,Camden,U,minor,,,529076,184496,51.54460827,-0.14001362,,,Counted,"Manual count",28,8,57,0,37,1,0,0,0,0,0,1,103
951701,2016,6,London,145,Camden,B519,minor,,,526422,186757,51.56552769,-0.17745338,,,Counted,"Manual count",492,731,14746,358,2743,314,15,5,13,1,0,347,18925
951703,2016,6,London,145,Camden,U,minor,,,525830,185148,51.55120010,-0.18656505,,,Counted,"Manual count",5,13,746,2,109,6,2,0,0,0,0,8,879
951704,2016,6,London,145,Camden,U,minor,,,528657,186240,51.56037660,-0.14541520,,,Counted,"Manual count",154,26,1023,1,111,5,0,0,1,0,0,6,1169
6425,2015,6,London,145,Camden,A40,major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",3650,1132,12068,1260,1938,536,56,2,71,1,1,668,17066
7043,2015,6,London,145,Camden,A400,major,A502,"Delancey St",528950,183780,51.53820259,-0.14209170,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",976,739,8536,1188,2055,395,72,0,19,0,3,490,13008
7044,2015,6,London,145,Camden,A400,major,A501,"Harrington Sq",529200,183000,51.53113588,-0.13877500,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",2286,1560,23544,1895,4079,906,69,0,118,14,45,1152,32230
7214,2015,6,London,145,Camden,A503,major,A400,A5202,529150,184100,51.54103264,-0.13909228,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2761,1792,20778,1207,4997,790,84,4,152,17,52,1099,29874
7237,2015,6,London,145,Camden,A5202,major,B512,A503,529300,184000,51.54009966,-0.13696726,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",1165,371,8122,153,2015,243,32,5,27,3,5,315,10977
7671,2015,6,London,145,Camden,A4200,major,A40,A501,529970,182300,51.52466869,-0.12793867,1.30,0.81,Estimated,"Estimated using previous year's AADF on this link",2102,1025,8830,1558,2119,642,125,0,161,11,8,947,14480
7717,2015,6,London,145,Camden,A5201,major,"Gray's Inn Rd","LA Boundary",531300,182040,51.52202484,-0.10887534,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",6104,1892,9905,802,2850,378,25,5,16,1,3,427,15875
8381,2015,6,London,145,Camden,A5200,major,"Acton St","Swinton St",530560,182730,51.52839696,-0.11927979,0.10,0.06,Counted,"Dependent on a neighbouring counted link",1572,594,8845,605,2076,247,34,7,23,4,4,318,12437
8438,2015,6,London,145,Camden,A201,major,"Gray's Inn Rd","King's Cross Road",530620,182725,51.52833817,-0.11841721,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",650,671,6372,660,1057,295,39,9,63,32,20,459,9218
8469,2015,6,London,145,Camden,A400,major,A40,A5204,529700,181590,51.51835019,-0.13208946,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",2296,1254,8753,1035,2311,417,85,16,52,0,0,569,13922
16401,2015,6,London,145,Camden,A40,major,A400,"Bloomsbury St",530000,181430,51.51684343,-0.12782715,0.30,0.19,Counted,"Manual count",4412,263,1785,2126,431,108,11,2,13,2,1,138,4741
16434,2015,6,London,145,Camden,A41,major,"Adelaide Road roundabout",A598,526150,185000,51.54979866,-0.18200525,2.50,1.55,Counted,"Manual count",740,1570,34606,1924,6814,1128,106,89,224,69,88,1704,46617
17007,2015,6,London,145,Camden,A400,major,"Royal College St","LA Boundary",529000,185000,51.54915490,-0.14092437,1.40,0.87,Counted,"Manual count",2101,856,9361,1115,2257,455,32,11,40,7,14,560,14148
17008,2015,6,London,145,Camden,A400,major,"Hampstead Rd",A4200,529200,183160,51.53257375,-0.13871635,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1173,1040,10601,1088,2414,360,58,23,27,13,10,491,15635
17169,2015,6,London,145,Camden,A501,major,A400,A4200,529600,182500,51.52655097,-0.13319548,0.40,0.25,Counted,"Manual count",2235,2997,38967,2304,8152,1396,154,96,137,85,69,1937,54358
17170,2015,6,London,145,Camden,A502,major,A400/A503,"Castlehaven Road",528830,184000,51.54020703,-0.14374053,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",495,334,5314,708,1579,246,32,3,10,11,1,303,8239
17196,2015,6,London,145,Camden,A5202,major,"Royal College St","Camden Rd",529120,184380,51.54355576,-0.13942199,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1419,280,5691,212,652,229,17,0,4,0,2,253,7087
17637,2015,6,London,145,Camden,A4200,major,"LA Boundary",A40,530600,181300,51.51553691,-0.11923304,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",3142,1879,18102,3712,5319,617,63,3,57,2,0,742,29754
17688,2015,6,London,145,Camden,A5200,major,"Clerkenwell Rd","Acton St",530720,182400,51.52539441,-0.11709697,0.80,0.50,Counted,"Manual count",1572,594,8845,605,2076,247,34,7,23,4,4,318,12437
18077,2015,6,London,145,Camden,A501,major,A5202,"Gray's Inn Rd",530276,182939,51.53034069,-0.12329425,0.10,0.06,Counted,"Dependent on a neighbouring counted link",2336,2856,46568,2968,7844,1466,185,24,299,85,59,2118,62355
18170,2015,6,London,145,Camden,A40,major,"Charing Cross Road","Shaftesbury Ave",529917,181308,51.51576614,-0.12906759,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",442,1313,4959,59,1778,177,32,4,18,4,4,239,8349
18611,2015,6,London,145,Camden,A503,major,"Camden Park Rd",A5200,529780,184952,51.54854485,-0.12969914,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",2976,2380,18777,1015,4469,682,103,1,157,24,50,1018,27659
27075,2015,6,London,145,Camden,A400,major,A502/A503,A502,528930,184000,51.54018422,-0.14229941,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",571,418,5040,637,724,218,27,0,17,0,8,271,7088
27241,2015,6,London,145,Camden,A503,major,A5202,"St Pancras Way",529230,184250,51.54236234,-0.13788433,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",2867,2011,20874,1050,5370,768,64,3,81,7,15,938,30243
27264,2015,6,London,145,Camden,A5202,major,A503,"St Pancras Way",529110,184330,51.54310871,-0.13958444,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",483,208,3893,273,1049,126,33,0,21,1,0,182,5605
27733,2015,6,London,145,Camden,A4201,major,A501,"Prince Albert Road",528760,183000,51.53123630,-0.14511470,1.50,0.93,Estimated,"Estimated using previous year's AADF on this link",651,833,8815,570,2469,303,31,6,39,1,0,379,13066
27785,2015,6,London,145,Camden,A40,major,"Shaftesbury Ave","Southampton Place",530300,181560,51.51794264,-0.12345801,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",2537,859,7749,1497,2157,361,49,0,23,0,0,433,12695
28216,2015,6,London,145,Camden,A502,major,"Chalk Farm Road",A400,528800,184300,51.54290988,-0.14406319,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",759,709,9052,757,2388,262,43,9,30,2,6,352,13258
28313,2015,6,London,145,Camden,A201,major,"Gray's Inn Rd","King's Cross Rd",530680,182810,51.52908815,-0.11752126,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",149,974,7807,139,2183,362,75,13,64,10,24,549,11651
28379,2015,6,London,145,Camden,A503,major,Parkway,"Camden High St",528950,183630,51.53685459,-0.14214659,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1356,742,8256,225,1555,269,39,1,30,0,0,339,11117
28498,2015,6,London,145,Camden,A503,major,"Kentish Town Rd","Bayham St",528950,183920,51.53946072,-0.14204046,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",559,571,11425,791,3391,497,30,4,30,2,6,569,16746
28758,2015,6,London,145,Camden,A5200,major,"LA Boundary","Camden Rd",529850,184770,51.54689320,-0.12875728,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",653,429,6202,243,1159,233,51,0,26,0,10,320,8352
37100,2015,6,London,145,Camden,A400,major,"Delancey St","Hampstead Rd",529140,183500,51.53564293,-0.13945630,0.30,0.19,Counted,"Manual count",1490,1190,13996,1453,3615,648,67,9,134,15,2,876,21130
37101,2015,6,London,145,Camden,A400,major,A5204,A501,529430,182000,51.52209659,-0.13582817,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",4890,1262,15493,1038,2969,641,85,4,137,10,8,884,21647
37264,2015,6,London,145,Camden,A502,major,"Castlehaven Rd","LA boundary",527450,185000,51.54950680,-0.16326642,4.30,2.67,Estimated,"Estimated using previous year's AADF on this link",651,650,12493,812,2029,262,48,2,9,3,1,324,16308
37268,2015,6,London,145,Camden,A503,major,"Bayham St",A400,529000,183970,51.53989864,-0.14130160,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2815,1994,15032,2462,3519,557,68,0,54,0,21,699,23706
37773,2015,6,London,145,Camden,A4200,major,A40,A40,530500,181600,51.51825598,-0.12056240,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",3266,2130,16430,2994,3274,773,148,0,138,30,72,1162,25989
37824,2015,6,London,145,Camden,A5200,major,"A5200 Leighton Rd",A400,529500,185450,51.55308445,-0.13355184,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",707,545,10998,380,1755,221,12,2,5,0,0,241,13919
37825,2015,6,London,145,Camden,A5200,major,"Swinton St","Euston Rd",530470,182900,51.52994546,-0.12051354,0.30,0.19,Counted,"Manual count",917,1713,16380,733,3473,582,82,40,158,41,40,943,23241
37827,2015,6,London,145,Camden,A401,major,"Procter St","Gray's Inn Rd",530700,181850,51.52045642,-0.11758894,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",6557,1590,12029,2366,2691,614,102,0,26,0,10,752,19427
38368,2015,6,London,145,Camden,A4200,major,A400,"Hampstead Rd",529249,183314,51.53394649,-0.13795385,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1402,593,4933,876,1467,209,38,6,9,3,0,265,8134
38555,2015,6,London,145,Camden,A4201,major,"Prince Albert Rd","Delancey St",528650,183580,51.53647364,-0.14648792,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",2384,1101,14381,636,2813,524,102,12,58,1,15,712,19644
38592,2015,6,London,145,Camden,A401,major,"Clerkenwell Rd","LA Boundary",531100,182130,51.52288004,-0.11172294,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",3498,683,3539,1267,1068,280,18,2,7,2,3,312,6869
38595,2015,6,London,145,Camden,A5204,major,"LA Boundary",A400,529496,181746,51.51979887,-0.13497067,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1181,463,4251,9,1277,155,26,0,31,0,2,214,6213
47081,2015,6,London,145,Camden,A400,major,A503,A502,529060,184100,51.54105320,-0.14038931,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1155,921,11980,1536,2758,417,58,12,28,11,15,542,17736
47245,2015,6,London,145,Camden,A501,major,A4201,A400,529004,182226,51.52422496,-0.14188225,0.40,0.25,Counted,"Manual count",3006,4297,56899,2098,10486,2232,212,75,254,86,101,2960,76740
47249,2015,6,London,145,Camden,A503,major,"St Pancras Way","Camden Park Rd",529500,184600,51.54544583,-0.13386445,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",1560,1485,15499,990,4900,568,84,22,118,22,85,899,23774
47269,2015,6,London,145,Camden,A5202,major,"Camden Rd","Royal College St",529390,184000,51.54007906,-0.13567025,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",603,292,3704,20,894,86,13,0,17,0,6,121,5031
47727,2015,6,London,145,Camden,A4201,major,"Delancey St",A400/A502/A503,528800,183800,51.53841654,-0.14424598,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1049,620,11185,411,2231,378,16,9,41,0,0,444,14891
47784,2015,6,London,145,Camden,A5200,major,A503,"A5200 Camden Park Rd",530000,184700,51.54622964,-0.12662113,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",651,417,6461,210,1251,294,46,0,103,40,18,500,8839
47785,2015,6,London,145,Camden,A5200,major,A40,"Theobalds RD",531070,181800,51.51992144,-0.11227774,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1528,701,8394,1015,1532,227,53,2,23,0,0,305,11947
48159,2015,6,London,145,Camden,A400,major,A501,"New Oxford St",530000,181561,51.51802068,-0.12777887,1.20,0.75,Estimated,"Estimated using previous year's AADF on this link",1778,952,8004,1519,1527,284,47,6,57,3,4,399,12401
48352,2015,6,London,145,Camden,A400,major,A4200,A503,529350,183600,51.53649356,-0.13639354,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",2088,1264,10402,172,2062,602,63,0,42,10,27,742,14643
48537,2015,6,London,145,Camden,A41,major,"LA Boundary","Adelaide Road roundabout",526639,184005,51.54074733,-0.17531429,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",185,734,15520,1019,2192,453,97,1,64,0,21,637,20102
56124,2015,6,London,145,Camden,A5,major,A4003,"LA Boundary",525120,184020,51.54122058,-0.19720054,0.10,0.06,Counted,"Manual count",1000,770,10541,1702,2576,642,73,24,34,32,30,836,16424
56751,2015,6,London,145,Camden,A400,major,"Harrington Sq","Camden High St",529160,183270,51.53357142,-0.13925240,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",915,801,8778,925,2396,351,69,13,47,4,6,490,13390
56815,2015,6,London,145,Camden,A501,major,A4200,A5202,530000,182765,51.52884057,-0.12733503,0.60,0.37,Counted,"Manual count",2336,2856,46568,2968,7844,1466,185,24,299,85,59,2118,62355
56990,2015,6,London,145,Camden,A4200,major,A501,A400,529470,183000,51.53107409,-0.13488475,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",2041,937,7909,875,2079,336,39,9,9,9,0,402,12202
57080,2015,6,London,145,Camden,A400,major,A502,"Royal College St",528960,184400,51.54377204,-0.14172064,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",2489,987,9823,1210,2291,373,122,3,20,4,13,535,14846
57538,2015,6,London,145,Camden,A40,major,"Shaftesbury Ave","Southampton Place",530289,181427,51.51674995,-0.12366557,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",2627,2564,8972,280,2956,230,86,9,14,4,1,344,15117
57690,2015,6,London,145,Camden,A401,major,A40/A4200,"Procter St",530500,181700,51.51915464,-0.12052540,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",5740,891,9571,2683,1351,244,43,4,35,2,20,348,14844
57828,2015,6,London,145,Camden,A401,major,A400,"High Holborn",530000,181140,51.51423731,-0.12793400,0.30,0.19,Counted,"Manual count",3314,1409,9409,915,2850,449,49,4,23,2,8,535,15119
58157,2015,6,London,145,Camden,A503,major,"Camden High St","Camden Rd",529040,183800,51.53836177,-0.14078742,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1256,773,10426,1769,1919,443,27,0,32,7,6,515,15402
58196,2015,6,London,145,Camden,A5205,major,"LA Boundary",Parkway,528470,183640,51.53705379,-0.14905987,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",652,591,14020,157,2932,690,55,0,19,3,1,769,18469
58317,2015,6,London,145,Camden,A5200,major,"Camden Rd","LA Boundary",529630,185000,51.54901066,-0.13184354,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",523,362,8445,299,1490,253,37,0,20,2,10,321,10917
75094,2015,6,London,145,Camden,A400,major,"Andrew Borde St","Oxford St",529830,181340,51.51607369,-0.13030891,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",1272,645,3246,1732,1122,254,40,2,16,0,0,312,7057
75095,2015,6,London,145,Camden,A401,major,"High Holborn","Bloomsbury Way",530110,181400,51.51654853,-0.12625380,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1334,996,3339,36,1037,149,20,2,4,1,0,175,5583
75096,2015,6,London,145,Camden,A401,major,"Shaftesbury Avenue","New Oxford St",530080,181400,51.51655543,-0.12668591,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",709,891,8618,138,2685,371,73,2,1,1,0,448,12780
75097,2015,6,London,145,Camden,A40,major,"Bloomsbury St","Shaftesbury Ave",530100,181450,51.51700016,-0.12637939,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",2537,859,7749,1497,2157,361,49,0,23,0,0,433,12695
75098,2015,6,London,145,Camden,A40,major,"High Holborn","Bloomsbury Way",530420,181550,51.51782510,-0.12173322,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",328,274,1739,10,425,81,9,1,0,0,0,92,2540
75099,2015,6,London,145,Camden,A40,major,"Southampton Place",Kingsway,530480,181520,51.51754166,-0.12088007,0.10,0.06,Estimated,"Estimated from nearby links",1065,806,12691,818,2619,472,65,14,104,27,40,722,17656
75100,2015,6,London,145,Camden,A40,major,"Southampton Place","Southampton Row",530420,181650,51.51872377,-0.12169624,0.10,0.06,Estimated,"Estimated from nearby links",919,695,10950,706,2260,408,56,12,90,23,34,623,15235
75101,2015,6,London,145,Camden,A40,major,"High Holborn","Theobalds Rd",530590,181600,51.51823520,-0.11926602,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",3440,1968,10276,1749,2065,458,41,8,21,3,6,537,16595
75102,2015,6,London,145,Camden,A40,major,Kingsway,"Procter St",530550,181530,51.51761537,-0.11986810,0.10,0.06,Estimated,"Estimated from nearby links",966,731,11521,743,2378,429,59,13,95,24,36,656,16029
75103,2015,6,London,145,Camden,A5202,major,"St Pancras Way","Kentish Town Rd",529000,184500,51.54466157,-0.14110752,0.10,0.06,Estimated,"Estimated from nearby links",765,579,9123,588,1883,340,46,10,75,19,29,519,12692
75136,2015,6,London,145,Camden,A5,major,"LA Boundary","B414 Kilburn Park Road",525610,183400,51.53553996,-0.19035970,0.30,0.19,Counted,"Dependent on a neighbouring counted link",1000,770,10541,1702,2576,642,73,24,34,32,30,836,16424
76054,2015,6,London,145,Camden,A501,major,"Tottenham Court Road","Gower Street",529360,182384,51.52556350,-0.13669569,0.20,0.12,Counted,"Manual count",1531,3237,44124,1559,7499,1317,120,26,231,51,101,1845,58264
80722,2015,6,London,145,Camden,A5202,major,A501,"Royal College St",530150,183130,51.53208616,-0.12503914,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",495,114,17417,346,556,130,0,0,6,0,0,136,18569
942304,2015,6,London,145,Camden,B510,minor,,,525323,185330,51.55294845,-0.19380874,,,Counted,"Manual count",200,267,6446,304,1664,223,18,6,37,6,11,302,8983
942305,2015,6,London,145,Camden,B521,minor,,,531314,181941,51.52113192,-0.10871053,,,Counted,"Manual count",911,337,1595,7,657,79,12,0,0,0,0,91,2686
942307,2015,6,London,145,Camden,B502,minor,,,530149,182117,51.52298296,-0.12542749,,,Counted,"Manual count",655,149,1376,21,553,95,8,1,2,0,0,105,2204
942310,2015,6,London,145,Camden,U,minor,,,529076,184496,51.54460827,-0.14001362,,,Estimated,"Estimated using previous year's AADF on this link",16,9,62,0,30,2,0,0,0,0,0,2,104
951701,2015,6,London,145,Camden,B519,minor,,,526422,186757,51.56552769,-0.17745338,,,Counted,"Manual count",417,559,14855,360,2479,314,15,5,14,1,1,350,18602
951703,2015,6,London,145,Camden,U,minor,,,525830,185148,51.55120010,-0.18656505,,,Counted,"Manual count",2,15,769,10,84,12,1,0,1,0,0,14,891
951704,2015,6,London,145,Camden,U,minor,,,528657,186240,51.56037660,-0.14541520,,,Counted,"Manual count",185,38,1021,3,98,9,2,0,0,0,0,11,1170
6425,2014,6,London,145,Camden,A40,major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",3610,1138,11891,1229,1975,563,55,2,74,1,1,696,16928
7043,2014,6,London,145,Camden,A400,major,A502,"Delancey St",528950,183780,51.53820259,-0.14209170,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",966,742,8411,1159,2094,415,70,0,20,0,3,509,12915
7044,2014,6,London,145,Camden,A400,major,A501,"Harrington Sq",529200,183000,51.53113588,-0.13877500,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",2261,1567,23198,1848,4157,952,67,0,123,13,41,1196,31966
7214,2014,6,London,145,Camden,A503,major,A400,A5202,529150,184100,51.54103264,-0.13909228,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",2731,1800,20473,1177,5093,830,82,3,159,16,47,1137,29680
7237,2014,6,London,145,Camden,A5202,major,B512,A503,529300,184000,51.54009966,-0.13696726,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",1152,373,8003,149,2054,255,31,3,28,3,5,325,10904
7671,2014,6,London,145,Camden,A4200,major,A40,A501,529970,182300,51.52466869,-0.12793867,1.30,0.81,Estimated,"Estimated using previous year's AADF on this link",2079,1030,8700,1520,2159,675,121,0,169,10,7,982,14392
7717,2014,6,London,145,Camden,A5201,major,"Gray's Inn Rd","LA Boundary",531300,182040,51.52202484,-0.10887534,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",6037,1901,9759,782,2905,397,24,3,17,1,2,444,15791
8381,2014,6,London,145,Camden,A5200,major,"Acton St","Swinton St",530560,182730,51.52839696,-0.11927979,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",1097,703,9826,752,1499,148,90,2,26,1,0,266,13047
8438,2014,6,London,145,Camden,A201,major,"Gray's Inn Rd","King's Cross Road",530620,182725,51.52833817,-0.11841721,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",643,674,6278,643,1078,310,38,7,66,29,18,469,9141
8469,2014,6,London,145,Camden,A400,major,A40,A5204,529700,181590,51.51835019,-0.13208946,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",2271,1260,8624,1009,2355,438,83,12,54,0,0,586,13835
16401,2014,6,London,145,Camden,A40,major,A400,"Bloomsbury St",530000,181430,51.51684343,-0.12782715,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",4115,816,5888,4178,1109,176,25,1,18,2,0,222,12213
16434,2014,6,London,145,Camden,A41,major,"Adelaide Road roundabout",A598,526150,185000,51.54979866,-0.18200525,2.50,1.55,Estimated,"Estimated using previous year's AADF on this link",1250,2034,36275,1632,4875,500,116,0,107,22,45,791,45606
17007,2014,6,London,145,Camden,A400,major,"Royal College St","LA Boundary",529000,185000,51.54915490,-0.14092437,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",3845,1166,13670,1230,3267,667,96,10,32,10,22,838,20171
17008,2014,6,London,145,Camden,A400,major,"Hampstead Rd",A4200,529200,183160,51.53257375,-0.13871635,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",1160,1045,10446,1061,2460,378,56,17,28,12,9,501,15513
17169,2014,6,London,145,Camden,A501,major,A400,A4200,529600,182500,51.52655097,-0.13319548,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1262,1830,29815,2377,5256,1339,209,0,273,65,128,2013,41291
17170,2014,6,London,145,Camden,A502,major,A400/A503,"Castlehaven Road",528830,184000,51.54020703,-0.14374053,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",490,336,5235,691,1609,258,31,2,10,10,1,313,8185
17196,2014,6,London,145,Camden,A5202,major,"Royal College St","Camden Rd",529120,184380,51.54355576,-0.13942199,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1404,282,5607,206,664,241,17,0,4,0,2,264,7023
17637,2014,6,London,145,Camden,A4200,major,"LA Boundary",A40,530600,181300,51.51553691,-0.11923304,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",3108,1887,17836,3621,5421,649,62,2,60,2,0,774,29538
17688,2014,6,London,145,Camden,A5200,major,"Clerkenwell Rd","Acton St",530720,182400,51.52539441,-0.11709697,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",1097,703,9826,752,1499,148,90,2,26,1,0,266,13047
18077,2014,6,London,145,Camden,A501,major,A5202,"Gray's Inn Rd",530276,182939,51.53034069,-0.12329425,0.10,0.06,Counted,"Dependent on a neighbouring counted link",3041,3177,38107,2919,7456,2016,154,82,210,69,103,2634,54293
18170,2014,6,London,145,Camden,A40,major,"Charing Cross Road","Shaftesbury Ave",529917,181308,51.51576614,-0.12906759,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",437,1319,4886,57,1812,186,31,3,19,3,3,246,8321
18611,2014,6,London,145,Camden,A503,major,"Camden Park Rd",A5200,529780,184952,51.54854485,-0.12969914,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",2943,2391,18501,990,4554,717,100,1,165,22,46,1051,27487
27075,2014,6,London,145,Camden,A400,major,A502/A503,A502,528930,184000,51.54018422,-0.14229941,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",565,420,4966,621,737,230,26,0,18,0,8,281,7025
27241,2014,6,London,145,Camden,A503,major,A5202,"St Pancras Way",529230,184250,51.54236234,-0.13788433,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",2836,2020,20567,1024,5473,807,62,2,85,7,13,977,30060
27264,2014,6,London,145,Camden,A5202,major,A503,"St Pancras Way",529110,184330,51.54310871,-0.13958444,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",478,209,3836,266,1069,133,32,0,22,1,0,188,5568
27733,2014,6,London,145,Camden,A4201,major,A501,"Prince Albert Road",528760,183000,51.53123630,-0.14511470,1.50,0.93,Estimated,"Estimated using previous year's AADF on this link",644,837,8685,556,2516,318,30,4,41,1,0,394,12988
27785,2014,6,London,145,Camden,A40,major,"Shaftesbury Ave","Southampton Place",530300,181560,51.51794264,-0.12345801,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",2509,863,7635,1460,2198,379,48,0,25,0,0,451,12608
28216,2014,6,London,145,Camden,A502,major,"Chalk Farm Road",A400,528800,184300,51.54290988,-0.14406319,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",751,712,8919,739,2434,275,42,7,31,2,6,363,13165
28313,2014,6,London,145,Camden,A201,major,"Gray's Inn Rd","King's Cross Rd",530680,182810,51.52908815,-0.11752126,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",147,978,7692,135,2225,381,73,10,67,9,22,562,11592
28379,2014,6,London,145,Camden,A503,major,Parkway,"Camden High St",528950,183630,51.53685459,-0.14214659,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1341,746,8135,220,1585,283,38,1,31,0,0,353,11037
28498,2014,6,London,145,Camden,A503,major,"Kentish Town Rd","Bayham St",528950,183920,51.53946072,-0.14204046,0.10,0.06,Estimated,"Estimated using previous year's AADF on this link",553,574,11257,771,3455,523,29,3,31,2,6,593,16650
28758,2014,6,London,145,Camden,A5200,major,"LA Boundary","Camden Rd",529850,184770,51.54689320,-0.12875728,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",646,431,6111,237,1181,244,50,0,27,0,9,331,8290
37100,2014,6,London,145,Camden,A400,major,"Delancey St","Hampstead Rd",529140,183500,51.53564293,-0.13945630,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",1519,1197,17665,1571,3945,724,146,17,98,5,6,997,25376
